
Initial statistics: 63 variables; iteration 0; function evaluation 0; phase 1
Function value 1.2643736e+03; maximum gradient component mag -5.5771e+03
 55  0.03135 -9.48039e-02 | 56  0.06804 -1.41826e-01 | 57 -0.03410  1.75112e-01
 58  0.15742  3.57090e-02 | 59 -0.06953  4.09982e-01 | 60  0.12390 -8.43666e-02
 61  0.12217 -5.56869e-02 | 62  0.07779  3.77706e-01 | 63  0.15650  2.13673e-01
 64 -0.05878  5.16300e-01 | 65 -0.03498  1.97427e-01 | 66 -0.09655  2.16946e-01
 67 -0.08451  6.38088e-01 | 68 -0.22561  2.97282e-01 |

Initial statistics: 76 variables; iteration 0; function evaluation 0; phase 3
Function value 3.4548369e+02; maximum gradient component mag 1.6095e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.10691  1.33224e+00 |  2  0.43193 -2.43646e-01 |  3  0.05525 -1.43245e+00
  4 -0.54048 -3.40394e+00 |  5 -0.52077 -2.01746e+00 |  6 -0.18257 -6.15641e+00
  7 -0.00081 -3.49295e-02 |  8 -0.00181 -1.35086e-01 |  9 -0.00082  5.97142e-02
 10 -0.00083  1.36167e-01 | 11 -0.00386 -1.90717e-01 | 12 -0.00202  2.13754e-01
 13 -0.00496 -1.63303e-02 | 14 -0.00656  1.83103e-02 | 15 -0.00929 -1.36755e-02
 16 -0.01267 -7.84859e-03 | 17 -0.01742 -4.75196e-02 | 18 -0.02338 -9.01725e-02
 19 -0.02976 -1.72580e-02 | 20 -0.03835 -2.30726e-01 | 21 -0.04515 -3.26362e-01
 22 -0.04758 -3.71163e-01 | 23 -0.03962  2.06033e-01 | 24 -0.03084 -9.69408e-02
 25 -0.01508 -2.70651e-01 | 26  0.13302 -2.55365e-01 | 27 -0.19933  3.12440e-01
 28  0.18617 -3.88463e-01 | 29  0.01366 -2.91039e-01 | 30 -0.06832  8.13387e-02
 31 -0.13053  1.85466e-01 | 32  0.14084 -3.54414e-01 | 33 -0.15375  1.81684e-01
 34  0.15598 -1.26857e+00 | 35 -0.00086 -2.97260e-01 | 36 -0.05793 -1.92172e-01
 37 -0.25414  3.36359e-01 | 38 -0.06923  4.65487e-01 | 39  0.07375  5.82075e-02
 40  0.03826  2.17691e-01 | 41  0.02860  7.49658e-02 | 42  0.16718 -7.73810e-01
 43  0.02352  1.30280e-01 | 44 -0.05240  2.97204e-01 | 45 -0.06320  1.69869e-01
 46  0.09441 -6.18069e-02 | 47  0.01138  9.04305e-02 | 48 -0.06047  6.17729e-01
 49  0.10982 -1.98217e-01 | 50  0.07700 -3.67639e-01 | 51 -0.06023  2.53287e-01
 52 -0.00094 -2.52969e-01 | 53 -0.02478 -1.12858e-01 | 54 -0.06266 -3.07094e-01
 55  0.03134 -1.88290e-01 | 56  0.06804 -2.34891e-01 | 57 -0.03410  8.16472e-02
 58  0.15741 -5.50434e-02 | 59 -0.06954  3.16941e-01 | 60  0.12389 -1.76199e-01
 61  0.12217 -1.47568e-01 | 62  0.07779  2.84805e-01 | 63  0.15650  1.22888e-01
 64 -0.05878  4.23099e-01 | 65 -0.03498  1.03969e-01 | 66 -0.09655  1.24421e-01
 67 -0.08452  5.45312e-01 | 68 -0.22561  2.09499e-01 | 69  0.65401 -2.35866e+02
 70 -0.72427  2.12499e-02 | 71  0.41039  1.60954e+03 | 72 -0.62194  1.47164e-02
